pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
44.5,511.89,22.2,4.51,1448
44.37,171.43,20.74,4.77,1449
52.22,447.44,29.01,5.27,1450
34.63,496.38,16.71,3.08,1451
38.05,558.29,28.74,4.49,1452
49.26,766.87,25.75,2.29,1453
29.5,597.38,10.86,4.0,1454
55.23,704.88,27.63,4.06,1455
33.48,992.51,18.24,2.35,1456
45.56,255.69,27.07,5.83,1457
44.19,406.24,25.01,5.37,1458
51.94,989.82,15.9,2.83,1459
28.35,821.08,16.67,5.39,1460
29.67,519.36,15.62,5.28,1461
57.75,754.72,20.45,2.37,1462
32.95,705.83,16.93,3.77,1463
32.74,437.37,10.66,2.52,1464
22.38,698.69,18.07,5.55,1465
45.94,626.87,28.26,3.86,1466
57.57,170.82,26.62,2.1,1467
48.71,761.14,29.71,3.42,1468
33.18,104.89,22.93,5.59,1469
32.1,440.19,26.44,4.17,1470
48.1,786.39,18.75,4.64,1471
46.25,237.1,27.92,5.7,1472
40.44,351.38,24.97,2.91,1473
41.72,880.7,29.12,3.75,1474
53.24,995.0,28.38,5.95,1475
37.61,864.43,18.7,5.06,1476
20.05,661.01,12.98,3.94,1477
47.83,720.06,15.73,3.02,1478
40.95,227.97,28.77,2.49,1479
28.9,219.88,26.0,3.7,1480
21.77,210.72,17.16,3.88,1481
58.45,843.14,27.8,5.22,1482
44.45,136.58,23.38,3.89,1483
28.31,293.96,24.47,3.91,1484
36.13,970.14,11.98,4.06,1485
47.99,697.82,12.92,4.78,1486
59.03,104.24,22.43,3.8,1487
45.78,884.49,19.52,2.72,1488
49.18,370.08,23.96,4.87,1489
44.93,795.38,13.06,2.08,1490
39.25,959.95,16.92,5.95,1491
52.04,805.76,21.67,2.7,1492
33.56,885.64,27.72,4.36,1493
57.85,801.68,17.51,4.82,1494
40.78,576.99,16.3,4.85,1495
44.26,259.68,20.02,5.18,1496
43.21,642.91,21.27,5.25,1497
53.01,706.57,20.61,5.67,1498
20.19,630.31,14.2,2.72,1499
