pitch,l_tmrdl,w_tmrdl,h_tmrdl,dut_index
59.43,348.04,20.65,3.05,1449
32.15,398.23,20.02,3.0,1450
43.52,582.48,28.8,3.83,1451
51.9,882.69,13.6,3.02,1452
54.92,379.56,11.55,3.95,1453
23.98,437.25,11.93,3.67,1454
33.14,338.68,28.77,2.53,1455
21.68,838.64,17.34,3.22,1456
52.72,454.38,12.84,4.49,1457
59.37,295.49,29.12,3.15,1458
28.47,274.71,26.5,4.58,1459
34.59,250.12,20.15,2.01,1460
48.99,240.51,25.08,5.83,1461
59.09,402.48,17.61,4.43,1462
59.23,206.91,11.18,4.99,1463
28.99,612.05,17.93,4.34,1464
36.79,384.74,26.35,3.84,1465
49.34,273.98,21.41,3.54,1466
48.93,528.79,29.2,4.83,1467
27.89,755.53,10.08,3.31,1468
52.46,208.94,27.92,5.34,1469
29.85,810.29,24.83,3.06,1470
48.86,643.72,20.51,5.92,1471
55.09,871.64,29.38,3.73,1472
44.74,653.1,25.3,5.21,1473
45.12,850.88,27.59,5.46,1474
23.16,496.38,14.13,3.86,1475
57.11,986.35,24.95,5.42,1476
55.66,414.59,24.3,4.17,1477
49.74,404.4,24.58,4.71,1478
43.21,122.37,22.8,5.97,1479
58.31,452.33,27.57,3.88,1480
59.22,578.72,28.8,3.51,1481
56.51,777.59,14.65,2.19,1482
20.75,929.19,17.23,2.13,1483
36.43,284.26,20.4,4.11,1484
25.63,599.32,13.94,4.26,1485
36.4,950.8,10.71,3.1,1486
53.01,246.5,29.13,4.2,1487
34.03,896.83,28.57,2.79,1488
28.18,602.53,23.9,2.05,1489
31.51,257.73,12.94,5.77,1490
22.12,510.86,18.25,3.32,1491
31.72,365.15,27.97,5.6,1492
25.11,987.98,14.37,4.29,1493
25.39,798.24,14.35,4.47,1494
34.63,725.9,24.98,2.76,1495
27.68,330.95,10.68,2.1,1496
49.14,155.44,28.32,5.77,1497
39.96,671.01,19.46,4.37,1498
53.0,983.12,17.09,4.78,1499
