h_tsv,r_tsv,pitch,l_tmrdl,w_tmrdl,t_tmrdl,l_bsmrdl,w_bsmrdl,t_bsmrdl,dut_index
54.17,6.21,40.06,605.17,28.95,3.55,614.85,29.79,2.7,364
67.92,10.17,42.69,204.09,12.55,4.61,637.78,20.4,4.34,365
73.56,12.84,48.67,159.16,18.0,3.35,556.15,24.86,2.46,366
97.2,7.31,41.95,455.59,17.1,4.06,210.98,27.92,4.57,367
79.2,8.52,49.72,162.19,24.35,3.37,619.29,14.38,3.12,368
73.25,14.91,56.29,180.79,13.48,2.33,608.93,18.24,4.12,369
82.59,12.87,52.46,358.76,12.41,2.64,235.2,19.99,2.75,370
65.35,9.38,51.96,445.54,27.22,4.35,304.35,12.8,3.55,371
84.92,7.8,53.16,289.89,20.52,2.83,271.63,11.76,2.54,372
99.19,5.01,57.27,458.82,16.12,3.78,321.63,20.53,2.92,373
75.73,7.55,57.93,583.41,19.6,3.63,512.68,16.95,3.39,374
87.67,15.0,42.93,363.55,21.83,3.65,641.84,22.37,2.64,375
61.48,11.68,48.48,624.81,11.91,2.36,197.47,18.52,3.07,376
93.74,14.47,43.49,439.24,12.89,3.87,189.79,28.66,4.0,377
97.97,8.98,53.56,103.71,24.22,4.49,193.09,19.87,3.87,378
75.57,13.84,59.35,598.73,24.95,3.26,651.56,27.55,4.03,379
61.75,12.65,55.5,595.42,22.55,4.5,269.92,13.04,2.47,380
98.12,12.59,59.26,554.22,19.37,4.91,572.32,25.46,4.82,381
63.71,12.53,50.49,286.4,16.53,2.06,320.44,12.72,3.74,382
72.61,12.1,54.15,483.92,15.35,3.99,152.11,28.83,2.16,383
95.06,6.87,49.59,537.23,24.43,2.9,462.38,12.46,3.72,384
53.18,6.46,40.71,245.52,14.43,4.12,643.57,16.72,2.08,385
70.43,9.12,58.77,671.73,11.09,4.9,245.82,24.62,2.73,386
72.75,13.79,43.97,634.71,24.86,4.78,299.93,13.06,2.63,387
98.41,10.2,47.32,318.11,10.28,2.66,573.75,12.05,4.96,388
69.59,7.05,44.74,220.38,18.3,4.29,582.44,21.63,2.65,389
57.11,14.12,57.76,531.05,28.6,3.66,656.22,16.66,4.14,390
64.2,8.0,50.93,502.96,27.69,2.0,688.92,13.48,4.79,391
95.97,6.79,47.21,630.57,28.81,4.64,139.73,12.87,3.31,392
79.7,7.28,55.74,367.27,13.16,2.6,622.69,18.35,2.14,393
59.01,11.8,52.27,561.68,19.56,3.18,683.68,26.74,3.33,394
85.74,14.65,40.33,680.63,12.06,4.32,273.18,15.48,2.22,395
81.54,10.97,42.53,227.95,23.93,4.09,296.78,27.35,4.3,396
73.76,14.58,40.79,313.1,11.78,2.54,167.59,10.11,3.0,397
52.24,7.5,45.5,693.41,21.88,3.53,628.0,13.74,3.63,398
84.18,13.34,49.38,556.49,26.44,2.38,475.31,19.53,4.17,399
